cluster_representative	cluster_member	nreads	fraction_reads	contig_length	norm_coverage	classification_member	classification_representative
23-1-10_NODE_760235_length_273_cov_1.336735_1	23-1-10_NODE_760235_length_273_cov_1.336735_1	7	2.7927803277192066e-07	273	9.012010599665454e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae
23-1-10_NODE_760235_length_273_cov_1.336735_1	32-1-4_NODE_1603714_length_242_cov_1.151515_1	8	2.3186162451876395e-07	242	9.017066893782832e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae
23-1-10_NODE_760239_length_273_cov_1.336735_1	23-1-10_NODE_760239_length_273_cov_1.336735_1	3	1.196905854736803e-07	273	3.86229025699948e-07		
23-1-10_NODE_760239_length_273_cov_1.336735_1	23-1-16_NODE_1017028_length_233_cov_0.948718_1	2	5.7995416274279344e-08	233	2.8506689219625997e-07		
23-1-10_NODE_760248_length_273_cov_1.336735_1	23-1-10_NODE_760248_length_273_cov_1.336735_1	5	1.9948430912280048e-07	273	6.437150428332466e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter
23-1-10_NODE_760248_length_273_cov_1.336735_1	32-1-8_NODE_251115_length_519_cov_1.065611_1	12	3.6531426311698916e-07	519	6.618464160740854e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter
23-1-10_NODE_774063_length_272_cov_0.712821_1	23-1-10_NODE_774063_length_272_cov_0.712821_1	2	7.979372364912019e-08	272	2.5843265690217105e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae
23-1-10_NODE_774063_length_272_cov_0.712821_1	23-1-10_NODE_175658_length_572_cov_0.989899_1	15	5.984529273684014e-07	572	9.216829022385121e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902632275	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae
23-1-10_NODE_774063_length_272_cov_0.712821_1	24-1-2_NODE_130291_length_715_cov_0.940439_1	8	2.711898052701264e-07	715	3.4258326136201427e-07	root;d__Bacteria	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae
23-1-10_NODE_774063_length_272_cov_0.712821_1	56-1-2_NODE_1193646_length_256_cov_1.631285_2	13	4.4324049717945615e-07	256	1.6060832073092517e-06	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp902632275	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae
23-1-10_NODE_774074_length_272_cov_0.712821_2	23-1-10_NODE_774074_length_272_cov_0.712821_2	2	7.979372364912019e-08	272	2.5843265690217105e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter
23-1-10_NODE_774074_length_272_cov_0.712821_2	29-1-2_NODE_1371159_length_243_cov_0.891566_2	1	3.385474836882744e-08	243	1.3587126790971553e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter
23-1-10_NODE_774074_length_272_cov_0.712821_2	39-1-8_NODE_351404_length_440_cov_1.812672_1	9	2.637073312747753e-07	440	5.621289136335811e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter
23-1-10_NODE_774115_length_272_cov_0.707692_1	23-1-10_NODE_774115_length_272_cov_0.707692_1	2	7.979372364912019e-08	272	2.5843265690217105e-07	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A
23-1-10_NODE_774115_length_272_cov_0.707692_1	24-1-8_NODE_922806_length_256_cov_1.452514_1	4	1.1647351281668711e-07	256	4.56362060649316e-07	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A
23-1-10_NODE_774124_length_272_cov_0.707692_1	23-1-10_NODE_774124_length_272_cov_0.707692_1	8	3.1917489459648074e-07	272	1.0337306276086842e-06	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868	root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868
23-1-10_NODE_774124_length_272_cov_0.707692_1	17-2-6_NODE_936006_length_281_cov_0.485294_1	9	2.6109624216363147e-07	281	8.444849991672738e-07		root;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868
23-1-10_NODE_794057_length_269_cov_1.229167_1	23-1-10_NODE_794057_length_269_cov_1.229167_1	4	1.5958744729824037e-07	269	5.226296109843162e-07	root;d__Bacteria;p__Proteobacteria	root;d__Bacteria;p__Proteobacteria
23-1-10_NODE_794057_length_269_cov_1.229167_1	18-1-4_NODE_1681318_length_231_cov_1.642857_1	6	2.030655863938476e-07	231	8.053432539434839e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__Aureimonas pseudogalii	root;d__Bacteria;p__Proteobacteria
23-1-10_NODE_794057_length_269_cov_1.229167_1	30-1-4_NODE_1432906_length_247_cov_0.788235_1	2	6.086644356274667e-08	247	2.298890730464301e-07	root;d__Bacteria;p__Proteobacteria	root;d__Bacteria;p__Proteobacteria
23-1-10_NODE_794057_length_269_cov_1.229167_1	33-1-6_NODE_950862_length_272_cov_0.697436_1	3	8.239972612528362e-08	272	2.9331841590503925e-07	root;d__Bacteria;p__Proteobacteria	root;d__Bacteria;p__Proteobacteria
23-1-10_NODE_794057_length_269_cov_1.229167_1	34-1-24_NODE_501782_length_321_cov_2.122951_1	7	2.3628540441428393e-07	321	7.82354573791995e-07	root;d__Bacteria;p__Proteobacteria	root;d__Bacteria;p__Proteobacteria
23-1-10_NODE_794057_length_269_cov_1.229167_1	56-1-2_NODE_1215477_length_255_cov_0.831461_1	2	6.819084571991633e-08	255	2.480587035120171e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Roseibium;s__Roseibium sp001890945	root;d__Bacteria;p__Proteobacteria
23-1-10_NODE_794083_length_269_cov_1.213542_1	23-1-10_NODE_794083_length_269_cov_1.213542_1	5	1.9948430912280048e-07	269	6.532870137303953e-07		
23-1-10_NODE_794083_length_269_cov_1.213542_1	17-2-6_NODE_1607349_length_233_cov_0.942308_1	3	8.703208072121048e-08	233	3.394853859313361e-07		
23-1-10_NODE_794083_length_269_cov_1.213542_1	19-1-6_NODE_217208_length_552_cov_0.920000_1	6	2.0314638538927859e-07	552	3.2142821142695014e-07		
23-1-10_NODE_794083_length_269_cov_1.213542_1	38-1-10_NODE_607469_length_331_cov_1.303150_1	7	2.0296733606067307e-07	331	5.960725227993179e-07		
23-1-10_NODE_794137_length_269_cov_1.192708_1	23-1-10_NODE_794137_length_269_cov_1.192708_1	5	1.9948430912280048e-07	269	6.532870137303953e-07	root	root
23-1-10_NODE_794137_length_269_cov_1.192708_1	18-1-1_NODE_1247827_length_250_cov_1.346821_1	6	1.738934262836204e-07	250	6.825521296512073e-07	root	root
23-1-10_NODE_794137_length_269_cov_1.192708_1	19-1-4_NODE_1141423_length_252_cov_1.902857_1	16	5.295315790128631e-07	252	1.888206266252998e-06	root	root
23-1-10_NODE_794137_length_269_cov_1.192708_1	28-1-2_NODE_1112873_length_264_cov_0.791444_1	3	1.0150689695378479e-07	264	3.5747784463574874e-07	root	root
23-1-10_NODE_794137_length_269_cov_1.192708_1	53-1-2_NODE_1242838_length_254_cov_0.836158_1	7	2.368424062132831e-07	254	8.695549758351075e-07	root	root
23-1-10_NODE_794137_length_269_cov_1.192708_1	57-1-2_NODE_1541860_length_243_cov_0.807229_1	5	1.521890353400594e-07	243	5.99920480159293e-07	root	root
23-1-10_NODE_804741_length_268_cov_1.073298_1	23-1-10_NODE_804741_length_268_cov_1.073298_1	17	6.782466510175216e-07	268	2.2294638162605207e-06		
23-1-10_NODE_804741_length_268_cov_1.073298_1	33-1-6_NODE_468476_length_377_cov_1.710000_1	47	1.2909290426294434e-06	377	3.3154576736781803e-06		
23-1-10_NODE_804741_length_268_cov_1.073298_1	70-1-2_NODE_544704_length_351_cov_2.226277_1	98	2.985167009737493e-06	351	8.296115573819656e-06		
23-1-10_NODE_804756_length_268_cov_1.073298_1	23-1-10_NODE_804756_length_268_cov_1.073298_1	5	1.9948430912280048e-07	268	6.557246518413296e-07	root;d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2963;f__UBA2963;g__UBA2963;s__UBA2963 sp002725515	root;d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2963;f__UBA2963;g__UBA2963;s__UBA2963 sp002725515
23-1-10_NODE_804756_length_268_cov_1.073298_1	27-1-2_NODE_1651445_length_236_cov_0.773585_1	4	1.1585031583113101e-07	236	4.811719241651087e-07	root;d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2963;f__UBA2963;g__UBA2963;s__UBA2963 sp002725515	root;d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2963;f__UBA2963;g__UBA2963;s__UBA2963 sp002725515
23-1-10_NODE_804757_length_268_cov_1.073298_1	23-1-10_NODE_804757_length_268_cov_1.073298_1	2	7.979372364912019e-08	268	2.6228986073653186e-07	root;d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__LD1-PB3;f__CAIQIC01;g__CAIQIC01;s__CAIQIC01 sp903871765*	root;d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__LD1-PB3;f__CAIQIC01;g__CAIQIC01;s__CAIQIC01 sp903871765*
23-1-10_NODE_804757_length_268_cov_1.073298_1	19-1-6_NODE_739320_length_293_cov_1.259259_1	4	1.354309235928524e-07	293	4.037050573553503e-07	root;d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__LD1-PB3;f__CAIQIC01;g__CAIQIC01;s__CAIQIC01 sp903871765*	root;d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__LD1-PB3;f__CAIQIC01;g__CAIQIC01;s__CAIQIC01 sp903871765*
23-1-10_NODE_815392_length_267_cov_0.905263_1	23-1-10_NODE_815392_length_267_cov_0.905263_1	3	1.196905854736803e-07	267	3.9490832964826143e-07	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__TMED113;g__GCA-002707245	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__TMED113;g__GCA-002707245
23-1-10_NODE_815412_length_267_cov_0.900000_1	23-1-10_NODE_815412_length_267_cov_0.900000_1	4	1.5958744729824037e-07	267	5.265444395310151e-07	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__TMED113	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__TMED113
23-1-10_NODE_815412_length_267_cov_0.900000_1	70-1-2_NODE_1628048_length_231_cov_1.441558_1	3	9.138266356339264e-08	231	3.858914082176914e-07	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__TMED113	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__TMED113
23-1-10_NODE_815420_length_267_cov_0.900000_1	23-1-10_NODE_815420_length_267_cov_0.900000_1	2	7.979372364912019e-08	267	2.6327221976550756e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__UBA6544;s__UBA6544 sp002716125	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__UBA6544;s__UBA6544 sp002716125
23-1-10_NODE_815420_length_267_cov_0.900000_1	19-1-2_NODE_562962_length_368_cov_0.869416_2	4	1.1609802434830987e-07	368	2.916837900042267e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__UBA6544;s__UBA6544 sp002716125	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__UBA6544;s__UBA6544 sp002716125
23-1-10_NODE_815434_length_267_cov_0.894737_1	23-1-10_NODE_815434_length_267_cov_0.894737_1	3	1.196905854736803e-07	267	3.9490832964826143e-07	root;d__Bacteria	root;d__Bacteria
23-1-10_NODE_815434_length_267_cov_0.894737_1	31-1-8_NODE_4810_length_4269_cov_2.420802_1	138	5.606184092298265e-06	4269	1.2982312922949235e-06	root;d__Bacteria	root;d__Bacteria
23-1-10_NODE_815434_length_267_cov_0.894737_1	33-1-2_NODE_171604_length_623_cov_1.003663_1	13	4.3968758100398127e-07	623	6.47757652415671e-07	root;d__Bacteria	root;d__Bacteria
23-1-10_NODE_815434_length_267_cov_0.894737_1	58-1-2_NODE_25579_length_1860_cov_2.148626_3	67	2.5574402999915643e-06	1860	1.3770513135425195e-06	root	root;d__Bacteria
23-1-10_NODE_815460_length_267_cov_0.889474_1	23-1-10_NODE_815460_length_267_cov_0.889474_1	2	7.979372364912019e-08	267	2.6327221976550756e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__GCA-002721295;s__GCA-002721295 sp002937995*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__GCA-002721295;s__GCA-002721295 sp002937995*
23-1-10_NODE_815460_length_267_cov_0.889474_1	33-1-6_NODE_1307187_length_246_cov_1.130178_1	3	8.239972612528362e-08	246	3.2431954929337673e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__GCA-002721295;s__GCA-002721295 sp002937995*	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__GCA-002721295;s__GCA-002721295 sp002937995*
23-1-10_NODE_828994_length_266_cov_0.777778_1	23-1-10_NODE_828994_length_266_cov_0.777778_1	3	1.196905854736803e-07	266	3.9639294742889404e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp003210075	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp003210075
23-1-10_NODE_828994_length_266_cov_0.777778_1	67-1-2_NODE_1191821_length_249_cov_0.860465_1	1	3.380417820994842e-08	249	1.3204558797205472e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp003210075	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp003210075
23-1-10_NODE_828996_length_266_cov_0.777778_1	23-1-10_NODE_828996_length_266_cov_0.777778_1	2	7.979372364912019e-08	266	2.6426196495259595e-07		
23-1-10_NODE_828996_length_266_cov_0.777778_1	52-1-2_NODE_1529449_length_229_cov_0.973684_1	2	6.859708466505999e-08	229	2.7877849142516135e-07		
23-1-10_NODE_829008_length_266_cov_0.777778_1	23-1-10_NODE_829008_length_266_cov_0.777778_1	1	3.989686182456009e-08	266	1.3213098247629798e-07	root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__GCA-002708715;s__GCA-002708715 sp002694025	root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__GCA-002708715;s__GCA-002708715 sp002694025
23-1-10_NODE_829008_length_266_cov_0.777778_1	28-1-2_NODE_1375499_length_248_cov_0.865497_1	2	6.767126463585653e-08	248	2.536939542576282e-07	root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__GCA-002708715;s__GCA-002708715 sp002694025	root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__GCA-002708715;s__GCA-002708715 sp002694025
23-1-10_NODE_829008_length_266_cov_0.777778_1	53-1-2_NODE_838331_length_287_cov_1.014286_1	4	1.3533851783616177e-07	287	4.3975503008883484e-07	root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611	root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__GCA-002708715;s__GCA-002708715 sp002694025
23-1-10_NODE_829018_length_266_cov_0.777778_1	23-1-10_NODE_829018_length_266_cov_0.777778_1	2	7.979372364912019e-08	266	2.6426196495259595e-07		
23-1-10_NODE_829018_length_266_cov_0.777778_1	29-1-6_NODE_853573_length_251_cov_0.890805_1	2	7.239625598418403e-08	251	3.1123056797142e-07		
23-1-10_NODE_843110_length_264_cov_1.475936_1	23-1-10_NODE_843110_length_264_cov_1.475936_1	10	3.9896861824560096e-07	264	1.331319747677851e-06	root;d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A	root;d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A
23-1-10_NODE_843110_length_264_cov_1.475936_1	70-1-2_NODE_369021_length_427_cov_0.945714_2	10	3.046088785446421e-07	427	6.958697525237057e-07	root;d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A	root;d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A
23-1-10_NODE_853182_length_263_cov_1.510753_1	23-1-10_NODE_853182_length_263_cov_1.510753_1	4	1.5958744729824037e-07	263	5.345527199801562e-07	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__BACL11;s__BACL11 sp002693745	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__BACL11;s__BACL11 sp002693745
23-1-10_NODE_853182_length_263_cov_1.510753_1	17-2-2_NODE_1251404_length_243_cov_1.036145_1	1	4.05720760090255e-08	243	1.47846235136733e-07	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11	root;d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__BACL11;s__BACL11 sp002693745
23-1-10_NODE_863540_length_262_cov_1.524324_2	23-1-10_NODE_863540_length_262_cov_1.524324_2	9	3.590717564210408e-07	262	1.2073342444589976e-06	root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__TMED80	root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__TMED80
23-1-10_NODE_863540_length_262_cov_1.524324_2	18-1-1_NODE_527091_length_359_cov_2.992908_1	13	3.7676909028117755e-07	359	1.0298488492880335e-06	root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__TMED80	root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__TMED80
23-1-10_NODE_863540_length_262_cov_1.524324_2	18-1-1_NODE_1606650_length_119_cov_6.666667_1	6	1.738934262836204e-07	119	1.4339330454857298e-06		root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__TMED80
23-1-10_NODE_863560_length_262_cov_1.518919_2	23-1-10_NODE_863560_length_262_cov_1.518919_2	4	1.5958744729824037e-07	262	5.365929975373323e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
23-1-10_NODE_863560_length_262_cov_1.518919_2	38-1-10_NODE_1384561_length_240_cov_0.907975_2	2	5.7990667445906594e-08	240	2.3488095838877884e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
23-1-10_NODE_863574_length_262_cov_1.518919_1	23-1-10_NODE_863574_length_262_cov_1.518919_1	5	1.9948430912280048e-07	262	6.707412469216654e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A
23-1-10_NODE_863574_length_262_cov_1.518919_1	38-1-10_NODE_1537856_length_230_cov_0.967320_1	2	5.7990667445906594e-08	230	2.450931739708997e-07	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A	root;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A
23-1-10_NODE_873829_length_261_cov_1.543478_1	23-1-10_NODE_873829_length_261_cov_1.543478_1	4	1.5958744729824037e-07	261	5.386489094052914e-07	root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__SCGC-AAA003-L08;f__GCA-002719095;g__GCA-002719095;s__GCA-002719095 sp002719095	root;d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__SCGC-AAA003-L08;f__GCA-002719095;g__GCA-002719095;s__GCA-002719095 sp002719095
