## Date
## emapper-2.1.12
## /path/to/emapper.py -m diamond --sensmode fast --itype proteins -i  path/to/selected_proteins.fasta -o path/to/output --data_dir ./egg-db/
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
17-2-2_NODE_553168_length_317_cov_1.787500_1	156889.Mmc1_1352	6.3e-12	68.2	COG0210@1|root,COG2026@1|root,COG0210@2|Bacteria,COG2026@2|Bacteria,1MWW6@1224|Proteobacteria,2U0T8@28211|Alphaproteobacteria	28211|Alphaproteobacteria	L	DNA helicase	-	-	-	-	-	-	-	-	-	-	-	-	AAA_19,NERD,UvrD-helicase,UvrD_C,UvrD_C_2
17-2-4_NODE_1508906_length_247_cov_1.223529_1	1088721.NSU_3801	5.33e-24	97.8	COG3396@1|root,COG3396@2|Bacteria,1MVYQ@1224|Proteobacteria,2TRYF@28211|Alphaproteobacteria,2JZUF@204457|Sphingomonadales	204457|Sphingomonadales	S	Phenylacetic acid catabolic protein	-	-	1.14.13.149	ko:K02611	ko00360,ko01120,map00360,map01120	-	R09838	RC02690	ko00000,ko00001,ko01000	-	-	-	PaaA_PaaC
17-2-4_NODE_1519958_length_247_cov_0.752941_1	102107.XP_008237389.1	3.49e-09	59.3	COG2801@1|root,KOG0017@2759|Eukaryota,37THH@33090|Viridiplantae	33090|Viridiplantae	L	Mitochondrial protein	-	-	-	-	-	-	-	-	-	-	-	-	RVT_2,Retrotran_gag_2
18-1-3_NODE_178485_length_653_cov_1.239583_1	909943.HIMB100_00007950	4.16e-131	397.0	COG0060@1|root,COG0060@2|Bacteria,1MVBQ@1224|Proteobacteria,2TR3N@28211|Alphaproteobacteria,4BP8X@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	J	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)	ileS	-	6.1.1.5	ko:K01870	ko00970,map00970	M00359,M00360	R03656	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Anticodon_1,tRNA-synt_1,zf-FPG_IleRS
18-1-3_NODE_178490_length_653_cov_1.234375_1	313595.P700755_003774	5.54e-72	241.0	COG1404@1|root,COG2273@1|root,COG4935@1|root,COG1404@2|Bacteria,COG2273@2|Bacteria,COG4935@2|Bacteria,4NHWA@976|Bacteroidetes,1HX44@117743|Flavobacteriia,4C2Q3@83612|Psychroflexus	976|Bacteroidetes	G	Beta-glucanase Beta-glucan synthetase	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_16
18-1-3_NODE_178491_length_653_cov_1.230903_1	1123248.KB893348_gene214	5.4e-13	75.5	COG4775@1|root,COG4775@2|Bacteria,4NE6Z@976|Bacteroidetes,1IR22@117747|Sphingobacteriia	976|Bacteroidetes	M	Outer membrane protein assembly complex, YaeT protein	yaeT	-	-	ko:K07277	-	-	-	-	ko00000,ko02000,ko03029	1.B.33	-	-	Bac_surface_Ag,POTRA
18-1-3_NODE_178496_length_653_cov_1.217014_1	74547.PMT_0280	4.14e-54	192.0	COG0457@1|root,COG2227@1|root,COG0457@2|Bacteria,COG2227@2|Bacteria,1GCWZ@1117|Cyanobacteria,1MPIY@1212|Prochloraceae	1117|Cyanobacteria	H	Alternative locus ID	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_31,TPR_16,TPR_8
18-1-3_NODE_178504_length_653_cov_1.192708_1	401053.AciPR4_1740	2.39e-81	258.0	COG1290@1|root,COG2010@1|root,COG1290@2|Bacteria,COG2010@2|Bacteria,3Y2JP@57723|Acidobacteria,2JHJQ@204432|Acidobacteriia	204432|Acidobacteriia	C	Cytochrome b(N-terminal)/b6/petB	-	-	-	ko:K00412	ko00190,ko01100,ko02020,ko04260,ko04714,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map02020,map04260,map04714,map04932,map05010,map05012,map05016	M00151,M00152	-	-	ko00000,ko00001,ko00002,ko03029	-	-	-	Cytochrom_B_N_2,Cytochrome_CBB3
18-1-3_NODE_178506_length_653_cov_1.185764_1	488538.SAR116_1021	3.17e-64	208.0	COG0482@1|root,COG0482@2|Bacteria,1MUT1@1224|Proteobacteria,2TQU7@28211|Alphaproteobacteria,4BPBG@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	J	Catalyzes the 2-thiolation of uridine at the wobble position (U34) of tRNA, leading to the formation of s(2)U34	mnmA	-	2.8.1.13	ko:K00566	ko04122,map04122	-	R08700	RC02313,RC02315	ko00000,ko00001,ko01000,ko03016	-	-	-	tRNA_Me_trans
18-1-3_NODE_178511_length_653_cov_1.177083_2	1392490.JHZX01000001_gene1542	3.06e-43	160.0	COG0060@1|root,COG0060@2|Bacteria,4NEYT@976|Bacteroidetes,1HX3Y@117743|Flavobacteriia	976|Bacteroidetes	J	amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)	ileS	GO:0003674,GO:0003824,GO:0004812,GO:0004822,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006428,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.5	ko:K01870	ko00970,map00970	M00359,M00360	R03656	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	Anticodon_1,tRNA-synt_1
18-1-3_NODE_178512_length_653_cov_1.177083_1	212035.DPOL_MIMIV	6.08e-57	202.0	4QB40@10239|Viruses,4QV3M@35237|dsDNA viruses  no RNA stage	10239|Viruses	S	DNA polymerase family B	-	GO:0003674,GO:0003824,GO:0003887,GO:0004518,GO:0004519,GO:0004521,GO:0004523,GO:0004527,GO:0004540,GO:0005575,GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008408,GO:0008409,GO:0009058,GO:0009059,GO:0009987,GO:0016032,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0018130,GO:0018995,GO:0019058,GO:0019079,GO:0019438,GO:0033643,GO:0033646,GO:0033647,GO:0033648,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0039686,GO:0039693,GO:0042025,GO:0042221,GO:0043170,GO:0043656,GO:0043657,GO:0044215,GO:0044216,GO:0044217,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044403,GO:0044419,GO:0046483,GO:0050896,GO:0051704,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0090503,GO:0140097,GO:0140098,GO:1901360,GO:1901362,GO:1901576,GO:1902074	-	-	-	-	-	-	-	-	-	-	-
18-1-3_NODE_178514_length_653_cov_1.163194_1	466038.KI421440_gene690	3.94e-120	363.0	COG1200@1|root,COG1200@2|Bacteria,1MWN2@1224|Proteobacteria,2TR86@28211|Alphaproteobacteria,4BPUE@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	L	Critical role in recombination and DNA repair. Helps process Holliday junction intermediates to mature products by catalyzing branch migration. Has a DNA unwinding activity characteristic of a DNA helicase with a 3'- to 5'- polarity. Unwinds branched duplex DNA (Y-DNA)	recG	GO:0003674,GO:0003678,GO:0003724,GO:0003824,GO:0004003,GO:0004004,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006807,GO:0006996,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0008186,GO:0009314,GO:0009379,GO:0009628,GO:0009987,GO:0010501,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0032392,GO:0032508,GO:0032991,GO:0033202,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0048476,GO:0050896,GO:0051276,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:0140098,GO:1901360,GO:1902494	3.6.4.12	ko:K03655	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	DEAD,Helicase_C,RecG_wedge
18-1-3_NODE_178517_length_653_cov_1.161458_1	1144932.ATTF01000001_gene226	4.25e-107	315.0	COG0134@1|root,COG0134@2|Bacteria,1MW5K@1224|Proteobacteria,2TSZE@28211|Alphaproteobacteria,4BQ1F@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	E	Belongs to the TrpC family	trpC	GO:0003674,GO:0003824,GO:0004425,GO:0016829,GO:0016830,GO:0016831	4.1.1.48,5.3.1.24	ko:K01609,ko:K13498	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00023	R03508,R03509	RC00944,RC00945	ko00000,ko00001,ko00002,ko01000	-	-	-	IGPS
18-1-3_NODE_190858_length_628_cov_1.411978_1	991.IW20_25065	7.28e-60	207.0	COG1198@1|root,COG1198@2|Bacteria,4NFHB@976|Bacteroidetes,1HWZJ@117743|Flavobacteriia,2NTZ0@237|Flavobacterium	976|Bacteroidetes	L	Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA	priA	-	-	ko:K04066	ko03440,map03440	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	DEAD,Helicase_C,ResIII
18-1-3_NODE_190861_length_628_cov_1.406534_1	237368.SCABRO_00735	3.07e-07	58.2	COG0681@1|root,COG0681@2|Bacteria,2IYWI@203682|Planctomycetes	203682|Planctomycetes	U	Belongs to the peptidase S26 family	-	-	3.4.21.89	ko:K03100	ko02024,ko03060,map02024,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_S24
18-1-3_NODE_190862_length_628_cov_1.388385_1	1144932.ATTF01000013_gene584	6.1e-83	260.0	COG0128@1|root,COG0128@2|Bacteria,1MWMK@1224|Proteobacteria,2TR6W@28211|Alphaproteobacteria,4BPFP@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	E	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	aroA	GO:0003674,GO:0003824,GO:0003866,GO:0006082,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009987,GO:0016053,GO:0016740,GO:0016765,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046417,GO:0071704,GO:1901576	2.5.1.19	ko:K00800	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R03460	RC00350	ko00000,ko00001,ko00002,ko01000	-	-	-	EPSP_synthase
18-1-3_NODE_190866_length_628_cov_1.379310_1	1217656.F964_03904	6.4e-15	75.5	COG0300@1|root,COG0300@2|Bacteria,1RG9T@1224|Proteobacteria,1S48Y@1236|Gammaproteobacteria,3NJ51@468|Moraxellaceae	1236|Gammaproteobacteria	S	KR domain	-	-	-	ko:K07124	-	-	-	-	ko00000	-	-	-	adh_short
18-1-3_NODE_190872_length_628_cov_1.361162_1	760142.Hipma_1693	7.82e-83	256.0	COG2605@1|root,COG2605@2|Bacteria,1QWU7@1224|Proteobacteria,42QI3@68525|delta/epsilon subdivisions,2X8DE@28221|Deltaproteobacteria	28221|Deltaproteobacteria	G	pfam ghmp	-	-	2.7.1.168	ko:K07031	ko00540,map00540	-	R09770	RC00002,RC00078	ko00000,ko00001,ko01000	-	-	-	GHMP_kinases_C,GHMP_kinases_N,SIS_2
18-1-3_NODE_190873_length_628_cov_1.353902_1	1392490.JHZX01000001_gene2085	1.58e-08	57.4	2E5JY@1|root,330B6@2|Bacteria,4NV2G@976|Bacteroidetes,1I56S@117743|Flavobacteriia	976|Bacteroidetes	S	Domain of unknown function (DUF4296)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4296
18-1-3_NODE_190875_length_628_cov_1.353902_2	316058.RPB_3809	6.04e-94	279.0	COG0500@1|root,COG2226@2|Bacteria,1QSZ6@1224|Proteobacteria,2UMB9@28211|Alphaproteobacteria,3K60Z@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	Q	Methionine biosynthesis protein MetW	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_11
18-1-3_NODE_190877_length_628_cov_1.350272_1	46429.BV95_01583	1.99e-59	197.0	COG0407@1|root,COG0407@2|Bacteria,1MUG1@1224|Proteobacteria,2TQQV@28211|Alphaproteobacteria,2JZZP@204457|Sphingomonadales	204457|Sphingomonadales	H	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III	hemE	-	4.1.1.37	ko:K01599	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R03197,R04972	RC00872	ko00000,ko00001,ko00002,ko01000	-	-	-	URO-D
18-1-3_NODE_190879_length_628_cov_1.344828_1	1276756.AUEX01000031_gene137	3.43e-47	162.0	COG0092@1|root,COG0092@2|Bacteria,1MUAI@1224|Proteobacteria,2VHQN@28216|Betaproteobacteria,4A9J7@80864|Comamonadaceae	28216|Betaproteobacteria	J	Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation	rpsC	-	-	ko:K02982	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	KH_2,Ribosomal_S3_C
18-1-3_NODE_190881_length_628_cov_1.330309_1	82654.Pse7367_1864	3.87e-33	130.0	28IT2@1|root,2Z8S2@2|Bacteria,1G3YF@1117|Cyanobacteria	1117|Cyanobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
18-1-3_NODE_190887_length_628_cov_1.308530_1	1340493.JNIF01000003_gene3032	0.00011	50.8	COG2010@1|root,COG2010@2|Bacteria	2|Bacteria	C	Cytochrome c	-	-	-	-	-	-	-	-	-	-	-	-	PSCyt1,PSCyt2,PSD1
18-1-3_NODE_190888_length_628_cov_1.304900_2	411474.COPEUT_02335	1.5e-13	69.3	COG2314@1|root,COG2314@2|Bacteria,1UVIQ@1239|Firmicutes,24TZD@186801|Clostridia	186801|Clostridia	S	TM2 domain	-	-	-	-	-	-	-	-	-	-	-	-	TM2
18-1-3_NODE_190892_length_628_cov_1.297641_1	1453501.JELR01000002_gene361	1.35e-11	71.2	COG1520@1|root,COG3266@1|root,COG5183@1|root,COG1520@2|Bacteria,COG3266@2|Bacteria,COG5183@2|Bacteria,1PS4F@1224|Proteobacteria,1RZWB@1236|Gammaproteobacteria,468SY@72275|Alteromonadaceae	1236|Gammaproteobacteria	A	domain, Protein	-	-	-	-	-	-	-	-	-	-	-	-	PQQ_2,Peptidase_S8,TSP_3
18-1-3_NODE_190893_length_628_cov_1.297641_1	439493.PB7211_1446	1.18e-102	305.0	COG1560@1|root,COG1560@2|Bacteria,1MVNI@1224|Proteobacteria,2TS2H@28211|Alphaproteobacteria,4BQD4@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	M	PFAM Bacterial lipid A biosynthesis acyltransferase	msbB	-	2.3.1.241	ko:K02517	ko00540,ko01100,map00540,map01100	M00060	R05146	RC00037,RC00039	ko00000,ko00001,ko00002,ko01000,ko01005	-	-	-	Lip_A_acyltrans
18-1-3_NODE_190902_length_628_cov_1.283122_2	238854.Q5GQV8_BPSYP	7.76e-21	91.3	4QASK@10239|Viruses,4QVVS@35237|dsDNA viruses  no RNA stage,4QQFF@28883|Caudovirales,4QIHH@10662|Myoviridae	10662|Myoviridae	S	Pfam:T4-gp15_tss	-	GO:0005575,GO:0019012	-	-	-	-	-	-	-	-	-	-	-
18-1-3_NODE_190906_length_628_cov_1.279492_1	444861.E3SPI1_9CAUD	3.02e-16	82.8	4QGRR@10239|Viruses,4QY84@35237|dsDNA viruses  no RNA stage,4QR1R@28883|Caudovirales	28883|Caudovirales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
18-1-3_NODE_190912_length_628_cov_1.261343_1	1279009.ADICEAN_02041	3.1e-58	191.0	COG1809@1|root,COG1809@2|Bacteria,4NEHT@976|Bacteroidetes,47MRM@768503|Cytophagia	976|Bacteroidetes	S	PFAM (2R)-phospho-3-sulfolactate synthase ComA	-	-	4.4.1.19	ko:K08097	ko00680,ko01120,map00680,map01120	M00358	R07476	RC01799	ko00000,ko00001,ko00002,ko01000	-	-	-	ComA
18-1-3_NODE_190915_length_628_cov_1.255898_1	1120956.JHZK01000007_gene2848	2.85e-33	123.0	COG0816@1|root,COG0816@2|Bacteria,1RDHZ@1224|Proteobacteria,2U98Y@28211|Alphaproteobacteria,1JP1E@119043|Rhodobiaceae	28211|Alphaproteobacteria	L	Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA	ruvX	GO:0000966,GO:0000967,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0022613,GO:0034470,GO:0034471,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360	-	ko:K07447	-	-	-	-	ko00000,ko01000	-	-	-	RuvX
18-1-3_NODE_190920_length_628_cov_1.243194_2	1265756.AWZW01000001_gene461	6.12e-37	133.0	COG1721@1|root,COG1721@2|Bacteria,1QMD5@1224|Proteobacteria,2UW7B@28211|Alphaproteobacteria,4BSXH@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	S	Protein of unknown function DUF58	-	-	-	-	-	-	-	-	-	-	-	-	DUF58
18-1-3_NODE_203843_length_605_cov_0.958333_1	1238190.AMQY01000010_gene2428	1.51e-07	55.8	COG0697@1|root,COG0697@2|Bacteria,1MXPW@1224|Proteobacteria,1S8DG@1236|Gammaproteobacteria,1XM1W@135619|Oceanospirillales	135619|Oceanospirillales	EG	S-adenosylmethionine uptake transporter	-	-	-	-	-	-	-	-	-	-	-	-	EamA
