genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric,cluster_member_list
18-1-4-9.fna,86.3779071523403,84,0,0,1428072,45744,34_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A;o__Poseidoniales;f__Thalassarchaeaceae;g__Thalassarchaeum;s__Thalassarchaeum sp002501885,,37,99.86,99.65,substantial,none,"{'69-1-2-2.fna', '27-1-4-2.fna', '19-1-4-7.fna', '18-1-6-7.fna', '65-1-2-2.fna', '17-2-2-5.fna', '18-1-4-9.fna', '32-1-4-11.fna', '56-1-2-10.fna', '24-1-2-8.fna', '29-1-2-3.fna', '39-1-8-15.fna', '52-1-2-6.fna', '29-1-4-5.fna', '53-1-2-6.fna', '31-1-8-1.fna', '18-1-1-7.fna', '19-1-6-3.fna', '17-2-4-6.fna', '19-1-2-10.fna', '28-1-4-8.fna', '28-1-2-6.fna', '57-1-2-6.fna', '17-2-6-14.fna', '30-1-4-6.fna', '34-1-16-15.fna', '70-1-2-8.fna', '27-1-2-9.fna', '38-1-10-6.fna', '68-1-2-4.fna', '31-1-2-18.fna', '54-1-3-16.fna', '59-1-20-3.fna', '32-1-8-4.fna', '23-1-10-2.fna', '58-1-2-2.fna', '67-1-2-8.fna'}"
18-1-13-8.fna,84.1306993385428,82.27,0.06,0,1224401,17074,11_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia_B;o__MGIII;f__CG-Epi1;g__CG-Epi1;s__CG-Epi1 sp002724775,,11,99.58,99.27,substantial,low,"{'19-1-12-25.fna', '29-1-6-18.fna', '58-1-10-12.fna', '67-1-15-10.fna', '18-1-13-8.fna', '30-1-6-18.fna', '34-1-24-14.fna', '27-1-8-17.fna', '54-1-10-12.fna', '18-1-1-17.fna', '28-1-6-18.fna'}"
59-1-15-32.fna,93.8839847028542,96.12,0.97,0,1430266,135655,24_1,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__DRGT01;s__,,6,99.92,99.66,near,low,"{'59-1-3-23.fna', '59-1-9-27.fna', '34-1-2-6.fna', '59-1-15-32.fna', '32-1-2-26.fna', '59-1-6-32.fna'}"
59-1-15-5.fna,96.93400918871,94.66,0,0,1080446,28757,20_1,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__,,11,99.86,98.73,near,none,"{'32-1-2-4.fna', '59-1-15-5.fna', '32-1-4-3.fna', '31-1-8-5.fna', '59-1-6-28.fna', '31-1-2-21.fna', '34-1-16-25.fna', '34-1-2-5.fna', '59-1-20-16.fna', '59-1-9-5.fna', '59-1-3-19.fna'}"
59-1-3-21.fna,98.4507643894886,96.12,0,0,1337996,36650,23_1,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__,,6,99.97,99.75,near,none,"{'59-1-3-21.fna', '59-1-6-49.fna', '59-1-9-45.fna', '59-1-15-51.fna', '32-1-2-51.fna', '34-1-2-25.fna'}"
33-1-2-11.fna,43.028332200603,87.9,9.39,0,1063514,12525,21_1,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__Nitrosopelagicus brevis,,4,98.9,97.24,substantial,medium,"{'29-1-4-13.fna', '33-1-2-11.fna', '19-1-2-12.fna', '59-1-20-17.fna'}"
34-1-2-2.fna,91.5966322364636,94.17,0.97,0,1747528,29191,22_1,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__,,5,99.67,98.96,near,low,"{'34-1-2-2.fna', '59-1-15-16.fna', '59-1-9-44.fna', '32-1-2-6.fna', '59-1-6-2.fna'}"
27-1-2-16.fna,89.2898785993707,89.74,0.6,50,1862839,25689,44_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__MedAcidi-G1;s__MedAcidi-G1 sp002294285,,7,99.54,99.47,substantial,low,"{'27-1-2-16.fna', '19-1-2-14.fna', '30-1-4-3.fna', '57-1-2-12.fna', '17-2-4-10.fna', '29-1-4-7.fna', '17-2-6-17.fna'}"
59-1-9-8.fna,93.5000772466712,97.44,1.28,0,2308640,66357,43_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__S20-B6;s__S20-B6 sp002346745,,9,99.98,99.74,near,low,"{'59-1-9-8.fna', '34-1-16-30.fna', '59-1-3-20.fna', '31-1-2-29.fna', '59-1-20-12.fna', '32-1-2-21.fna', '59-1-6-29.fna', '59-1-15-15.fna', '34-1-2-17.fna'}"
59-1-6-8.fna,92.743116925134,96.58,1.28,0,2129898,106529,42_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA3125;s__,,6,99.98,99.9,near,low,"{'59-1-15-44.fna', '59-1-3-3.fna', '59-1-9-25.fna', '32-1-2-9.fna', '34-1-2-24.fna', '59-1-6-8.fna'}"
70-1-2-18.fna,86.4247955803683,93.16,1.8,0,2296989,28130,40_2,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA6944;s__UBA6944 sp002296525,,8,99.38,98.44,near,low,"{'70-1-2-18.fna', '54-1-3-17.fna', '38-1-10-18.fna', '56-1-2-4.fna', '58-1-2-14.fna', '19-1-6-9.fna', '39-1-8-9.fna', '32-1-8-10.fna'}"
19-1-2-16.fna,88.6362741101284,97.01,2.14,0,2356897,36808,40_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA6944;s__UBA6944 sp002724355,,12,99.65,99.01,near,low,"{'19-1-2-16.fna', '17-2-2-4.fna', '17-2-4-3.fna', '27-1-2-15.fna', '29-1-2-13.fna', '34-1-16-21.fna', '29-1-4-16.fna', '59-1-20-14.fna', '32-1-4-4.fna', '53-1-2-11.fna', '30-1-4-13.fna', '28-1-2-13.fna'}"
23-1-16-23.fna,84.2804011788261,92.44,2.14,20,2696555,13983,41_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA11606;g__UBA11606;s__,,3,99.13,98.79,near,low,"{'59-1-24-9.fna', '23-1-16-23.fna', '58-1-10-23.fna'}"
23-1-16-6.fna,48.7947299927452,79.31,8.15,100,1279161,12637,4_1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA724;s__UBA724 sp002723075,,2,98.39,98.39,substantial,medium,"{'18-1-13-9.fna', '23-1-16-6.fna'}"
23-1-16-13.fna,87.2185311967634,87.81,0.59,66.67,1570164,7266,30_1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__UBA10364;s__UBA10364 sp003445735,,3,98.63,98.27,substantial,low,"{'18-1-13-14.fna', '23-1-16-13.fna', '17-2-10-5.fna'}"
38-1-14-7.fna,82.3914627110324,87.32,1.25,25,1976786,8278,31_0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UA16;s__UA16 sp002863125,,1,,,substantial,low,{'38-1-14-7.fna'}
39-1-8-12.fna,0.75945655817325,79.82,16.08,2.44,1767358,6226,7_0,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA826;g__AG-426-M11;s__AG-426-M11 sp003213095,,1,,,substantial,very high,{'39-1-8-12.fna'}
33-1-2-15.fna,91.1674728794211,93.73,0.99,0,2156011,48965,57_1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA826;g__GCA-002712965;s__GCA-002712965 sp009392815,,2,99.25,99.25,near,low,"{'33-1-2-15.fna', '31-1-2-24.fna'}"
34-1-2-11.fna,98.8891456924796,96.7,0,0,2950313,19361,50_1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__Bin127;g__UBA1328;s__,,6,99.68,99.49,near,none,"{'59-1-9-7.fna', '59-1-15-10.fna', '59-1-3-27.fna', '59-1-6-7.fna', '32-1-2-31.fna', '34-1-2-11.fna'}"
31-1-8-16.fna,92.2262823883242,89.9,0,0,1341217,36178,25_1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__TMED-70;g__TMED-70;s__TMED-70 sp002703265,,10,99.81,99.62,substantial,none,"{'31-1-8-16.fna', '27-1-2-13.fna', '32-1-4-15.fna', '59-1-20-22.fna', '53-1-2-12.fna', '31-1-2-12.fna', '34-1-16-20.fna', '57-1-2-7.fna', '29-1-2-7.fna', '17-2-2-10.fna'}"
59-1-9-39.fna,96.5790221588554,94.22,0,0,2895983,41951,49_1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__UBA1151;g__GCA-2730555;s__,,6,99.8,99.74,near,none,"{'59-1-9-39.fna', '59-1-3-14.fna', '59-1-6-38.fna', '59-1-15-35.fna', '32-1-2-44.fna', '34-1-2-18.fna'}"
29-1-2-20.fna,91.9764440991149,89.68,0,0,1848521,31766,45_1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2979;f__UBA2979;g__UBA2979;s__UBA2979 sp002725365,,7,99.74,99.38,substantial,none,"{'19-1-2-6.fna', '29-1-2-20.fna', '32-1-4-22.fna', '31-1-8-15.fna', '27-1-2-6.fna', '59-1-20-21.fna', '17-2-4-13.fna'}"
27-1-2-12.fna,90.6075559445761,88.49,0,0,1509593,14260,13_1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA2588;g__UBA2588;s__UBA2588 sp002723125,,12,99.38,98.58,substantial,none,"{'30-1-4-8.fna', '28-1-2-11.fna', '69-1-2-11.fna', '19-1-2-9.fna', '29-1-2-18.fna', '32-1-4-18.fna', '18-1-4-14.fna', '17-2-4-11.fna', '53-1-2-3.fna', '27-1-2-12.fna', '57-1-2-4.fna', '17-2-2-7.fna'}"
31-1-2-23.fna,58.9023059825806,90.26,6.93,14.29,2144301,32826,12_1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA3495;s__UBA3495 sp002724585,,2,99.39,99.39,near,medium,"{'31-1-2-23.fna', '32-1-4-20.fna'}"
34-1-2-44.fna,86.8508593587587,97.69,2.67,0,3367983,84395,74_1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__,,6,99.78,99.75,near,low,"{'59-1-9-19.fna', '59-1-15-46.fna', '34-1-2-44.fna', '32-1-2-41.fna', '59-1-6-23.fna', '59-1-3-7.fna'}"
31-1-8-19.fna,94.3860878728348,92.74,0.11,0,2509799,20215,75_1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp002721995,,6,99.5,98.83,near,low,"{'31-1-2-13.fna', '59-1-20-8.fna', '31-1-8-19.fna', '32-1-4-17.fna', '34-1-16-32.fna', '33-1-2-13.fna'}"
18-1-6-10.fna,71.4930147518803,80.64,2.51,53.33,1236491,11193,26_1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A sp003280025,,5,99.26,98.82,substantial,low,"{'17-2-6-13.fna', '28-1-4-1.fna', '39-1-8-22.fna', '18-1-6-10.fna', '19-1-4-3.fna'}"
67-1-15-7.fna,-5.61702013431345,78.44,18.39,32.93,1912395,4366,91_1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_E;s__Synechococcus_E sp000195975,,2,96.71,96.71,substantial,very high,"{'67-1-15-7.fna', '29-1-6-15.fna'}"
18-1-1-16.fna,89.0715166652588,86.87,0,0,1628001,20753,90_1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_E;s__Synechococcus_E sp002724845,,19,99.44,98.65,substantial,none,"{'70-1-10-5.fna', '30-1-6-2.fna', '29-1-6-11.fna', '28-1-6-1.fna', '23-1-16-17.fna', '67-1-15-1.fna', '58-1-10-13.fna', '59-1-24-20.fna', '38-1-10-16.fna', '18-1-1-16.fna', '33-1-10-3.fna', '18-1-13-22.fna', '31-1-16-10.fna', '67-1-2-2.fna', '54-1-10-9.fna', '19-1-12-1.fna', '17-2-10-1.fna', '34-1-24-8.fna', '27-1-8-12.fna'}"
59-1-3-41.fna,47.1972949751324,75.21,5.79,0,1160109,5951,18_0,d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA1144;f__UBA1144;g__NP136;s__,,1,,,substantial,medium,{'59-1-3-41.fna'}
59-1-6-16.fna,56.1111979804837,93.66,8.01,4.55,8704932,15179,97_1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__GCA-2724215;s__,,6,99.74,99.36,near,medium,"{'59-1-9-13.fna', '34-1-2-37.fna', '59-1-15-42.fna', '59-1-6-16.fna', '59-1-3-42.fna', '32-1-2-46.fna'}"
31-1-2-25.fna,99.0726078155152,96.7,0,0,1630124,44862,61_1,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__JAAZYX01;s__,,3,99.68,99.66,near,none,"{'59-1-20-19.fna', '31-1-2-25.fna', '34-1-16-10.fna'}"
59-1-15-49.fna,92.2662341585219,92.02,0.2,0,1704933,24687,62_0,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__JAAZYX01;s__,,1,,,near,low,{'59-1-15-49.fna'}
32-1-2-8.fna,98.6033085260569,96.4,0,0,1948073,20601,60_1,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__TCS55;s__,,9,99.84,99.19,near,none,"{'31-1-2-3.fna', '34-1-16-1.fna', '31-1-8-18.fna', '59-1-3-2.fna', '32-1-2-8.fna', '34-1-2-22.fna', '59-1-15-20.fna', '59-1-9-4.fna', '59-1-6-4.fna'}"
31-1-2-11.fna,87.5592704681813,85.42,0,0,1707836,16424,59_1,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__TCS55;s__TCS55 sp001577025,,2,98.15,98.15,substantial,none,"{'59-1-20-1.fna', '31-1-2-11.fna'}"
32-1-2-38.fna,90.3498656443316,87.91,0,0,1815797,60405,58_1,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__UBA2126;s__,,6,99.95,99.92,substantial,none,"{'59-1-9-1.fna', '59-1-6-21.fna', '34-1-2-28.fna', '59-1-15-23.fna', '32-1-2-38.fna', '59-1-3-24.fna'}"
31-1-2-9.fna,42.3535327218622,86.41,10.44,58.33,1950948,10872,58_2,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__UBA2126;s__,,2,98.57,98.57,substantial,high,"{'31-1-2-9.fna', '59-1-20-6.fna'}"
34-1-2-32.fna,70.3563945136609,83.15,3.11,25,8547007,7399,51_1,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__,,3,99.47,99.39,substantial,low,"{'32-1-2-18.fna', '34-1-2-32.fna', '59-1-9-42.fna'}"
34-1-2-36.fna,56.6273006789242,77.72,5.18,56.25,2251498,5190,17_1,d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__UBA8687;s__,,2,98.6,98.6,substantial,medium,"{'59-1-6-46.fna', '34-1-2-36.fna'}"
59-1-9-22.fna,92.7001623941883,99.34,1.82,0,2628867,66559,77_1,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__SBBL01;f__;g__;s__,,5,99.95,99.77,near,low,"{'59-1-9-22.fna', '32-1-2-17.fna', '34-1-2-4.fna', '59-1-3-9.fna', '59-1-6-26.fna'}"
59-1-15-48.fna,95.6261501924296,97.73,0.66,0,4826744,19602,65_0,d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__GCA-002687715;f__GCA-002687715;g__;s__,,1,,,near,low,{'59-1-15-48.fna'}
59-1-15-43.fna,92.6058663723051,93.18,0.57,0,3274390,28943,54_1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__,,6,99.66,99.41,near,low,"{'59-1-15-43.fna', '34-1-2-8.fna', '32-1-2-16.fna', '59-1-6-18.fna', '59-1-3-12.fna', '59-1-9-48.fna'}"
32-1-2-23.fna,92.5092350772355,93.18,0.57,0,2807174,18674,55_1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__,,6,99.44,99.27,near,low,"{'34-1-2-3.fna', '59-1-3-39.fna', '59-1-6-1.fna', '59-1-15-9.fna', '59-1-9-43.fna', '32-1-2-23.fna'}"
32-1-4-6.fna,87.7236491588658,86.19,0.11,100,4232154,7361,64_1,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__SAT2750;s__,,5,99.48,98.61,substantial,low,"{'31-1-2-7.fna', '31-1-8-11.fna', '34-1-16-7.fna', '59-1-20-9.fna', '32-1-4-6.fna'}"
17-2-2-3.fna,81.0113588339867,83.76,1.18,100,4116465,7448,46_1,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA11883;s__,,3,98.64,98.43,substantial,low,"{'34-1-16-31.fna', '17-2-2-3.fna', '31-1-8-23.fna'}"
65-1-2-5.fna,97.4229093079007,95.22,0,0,4566710,21135,47_1,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA721;s__UBA721 sp002701385,,12,99.45,98.64,near,none,"{'70-1-2-7.fna', '65-1-2-5.fna', '68-1-2-6.fna', '56-1-2-7.fna', '52-1-2-4.fna', '28-1-4-11.fna', '57-1-2-9.fna', '19-1-4-10.fna', '39-1-8-8.fna', '17-2-4-14.fna', '29-1-4-10.fna', '54-1-3-11.fna'}"
32-1-2-42.fna,96.2796886470972,99.44,1.11,0,5849450,48395,70_1,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__UBA8437;s__,,6,99.87,99.4,near,low,"{'59-1-15-21.fna', '32-1-2-42.fna', '59-1-9-24.fna', '59-1-3-5.fna', '59-1-6-22.fna', '34-1-2-19.fna'}"
31-1-2-10.fna,93.6537462766712,97.09,1.11,0,5916571,13836,71_1,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__UBA8437;s__UBA8437 sp002724315,,3,99.58,99.06,near,low,"{'34-1-16-8.fna', '31-1-2-10.fna', '59-1-20-15.fna'}"
59-1-9-9.fna,89.5552528156561,90.11,0.52,0,4795888,10029,66_1,d__Bacteria;p__Planctomycetota;c__UBA1135;o__B15-G4;f__B15-G4;g__;s__,,4,99.62,99.25,near,low,"{'32-1-2-19.fna', '59-1-15-52.fna', '59-1-9-9.fna', '59-1-6-10.fna'}"
59-1-15-28.fna,89.177097041919,97.31,2.15,0,4426719,139606,76_1,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__;s__,,2,99.46,99.46,near,low,"{'32-1-2-14.fna', '59-1-15-28.fna'}"
32-1-2-20.fna,54.9330445215281,75.51,4.3,0,5174367,5573,67_0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__GCA-2683825;s__,,1,,,substantial,low,{'32-1-2-20.fna'}
32-1-2-2.fna,92.6430241892951,95.16,1.08,0,2053262,463856,56_1,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__UBA1135;g__GCA-2746235;s__,,6,99.98,99.98,near,low,"{'59-1-3-1.fna', '34-1-2-27.fna', '59-1-6-25.fna', '32-1-2-2.fna', '59-1-9-21.fna', '59-1-15-27.fna'}"
32-1-2-29.fna,91.948445115621,90.91,0.21,0,4495987,12211,63_1,d__Bacteria;p__Planctomycetota;c__UBA8108;o__UBA1146;f__;g__;s__,,5,99.76,99.17,near,low,"{'59-1-15-26.fna', '32-1-2-29.fna', '59-1-9-6.fna', '59-1-6-37.fna', '59-1-3-28.fna'}"
32-1-2-13.fna,93.3018889312404,98.9,1.65,0,5265810,160283,52_1,d__Bacteria;p__Poribacteria;c__WGA-4E;o__GCA-2687025;f__GCA-2687025;g__;s__,,6,99.97,99.91,near,low,"{'59-1-6-27.fna', '59-1-9-30.fna', '32-1-2-13.fna', '59-1-15-19.fna', '59-1-3-37.fna', '34-1-2-16.fna'}"
59-1-9-18.fna,95.9694815033025,99.07,1.09,0,6061577,39803,96_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__GCA-2731375;f__GCA-2731375;g__GCA-2731375;s__,,6,99.97,99.93,near,low,"{'59-1-6-34.fna', '34-1-2-14.fna', '59-1-15-34.fna', '59-1-3-29.fna', '59-1-9-18.fna', '32-1-2-52.fna'}"
59-1-15-45.fna,96.7983760263468,98.7,0.87,0,3375970,62883,82_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__JAAXGF01;f__JAAXGF01;g__;s__,,6,99.93,99.9,near,low,"{'59-1-6-43.fna', '59-1-15-45.fna', '59-1-9-50.fna', '59-1-3-16.fna', '32-1-2-40.fna', '34-1-2-41.fna'}"
23-1-16-7.fna,88.5613456480412,96.67,2.25,44.44,1723619,16218,27_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__RS24;g__Micropelagos;s__Micropelagos thuwalensis,,4,98.79,98.5,near,low,"{'30-1-6-11.fna', '18-1-13-7.fna', '29-1-6-5.fna', '23-1-16-7.fna'}"
32-1-2-1.fna,79.1533777986762,77,0,0,1175842,16462,14_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__,,3,99.62,99.41,substantial,none,"{'32-1-2-1.fna', '59-1-6-47.fna', '34-1-2-46.fna'}"
59-1-15-1.fna,71.2917745600631,86.75,3.61,33.33,1421962,47547,15_0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__,,1,,,substantial,low,{'59-1-15-1.fna'}
23-1-16-8.fna,97.9464191449905,97.6,0.22,100,2069443,22534,98_0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__HIMB100;s__HIMB100 sp002722385,,1,,,near,low,{'23-1-16-8.fna'}
27-1-8-5.fna,98.3352592532803,98.03,0.45,100,2383203,13450,89_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__UBA8309;s__UBA8309 sp001627655,,19,99.36,98.56,near,low,"{'28-1-6-13.fna', '23-1-16-26.fna', '34-1-24-12.fna', '59-1-24-16.fna', '58-1-10-26.fna', '30-1-6-16.fna', '67-1-2-13.fna', '33-1-10-19.fna', '18-1-1-8.fna', '54-1-10-5.fna', '27-1-8-5.fna', '38-1-14-15.fna', '67-1-15-15.fna', '31-1-16-8.fna', '17-2-10-15.fna', '18-1-13-26.fna', '70-1-10-17.fna', '19-1-12-11.fna', '29-1-6-14.fna'}"
